Length;Width;Qty;Label;Enabled
600;550;1;C2.jos;TRUE
782;550;1;C2.lat;TRUE
782;550;1;C2.lat;TRUE
564;100;1;C2.leg1;TRUE
564;100;1;C2.leg2;TRUE
564;100;1;C2.leg;TRUE
600;550;1;C3.jos;TRUE
782;550;1;C3.lat;TRUE
782;550;1;C3.lat;TRUE
564;100;1;C3.leg1;TRUE
564;100;1;C3.leg2;TRUE
564;550;1;C3.sep.h;TRUE
537;100;1;C3.ser.left;TRUE
502;100;1;C3.ser.front;TRUE
502;100;1;C3.ser.back;TRUE
537;100;1;C3.ser.right;TRUE
950;300;1;C4.lat1;TRUE
564;299;1;C4.jos;TRUE
950;300;1;C4.lat2;TRUE
564;299;1;C4.sus;TRUE
950;318.0;1;C4_fata;TRUE
400;300;1;C5.lat1;TRUE
505;299;1;C5.jos;TRUE
400;300;1;C5.lat2;TRUE
505;299;1;C5.sus;TRUE
505;280;1;C5.pol;TRUE
400;300;1;C6.lat1;TRUE
505;299;1;C6.jos;TRUE
400;300;1;C6.lat2;TRUE
505;299;1;C6.sus;TRUE
505;280;1;C6.pol;TRUE
950;400;1;C7.lat1;TRUE
364;399;1;C7.jos;TRUE
950;400;1;C7.lat2;TRUE
364;399;1;C7.sus;TRUE
364;380;1;C7.pol;TRUE
364;380;1;C7.pol;TRUE
364;380;1;C7.pol;TRUE
364;380;1;C7.pol;TRUE
