Nume,Bucati,Pret/buc,Pret total,Observatii
sipca apa,0.6,0,0.0,
plinta,0.6,0,0.0,
surub intre corpuri,10,0,0,
balama aplicata,3,0,0,
amortizor,2,0,0,
surub 3.5x16,12,0,0,
maner,1,0,0,
picioare,4,0,0,
clema plinta,2.0,0,0.0,
surub 3.5x16,16,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,0.6,0,0.0,
sipca apa,0.6,0,0.0,
surub PFL,18,0,0,
balama aplicata,3,0,0,
amortizor,2,0,0,
surub 3.5x16,12,0,0,
maner,1,0,0,
picioare,4,0,0,
clema plinta,2.0,0,0.0,
surub 3.5x16,16,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,0.6,0,0.0,
sipca apa,0.6,0,0.0,
surub PFL,18,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
surub,4,0,0,
pereche glisiera 500 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,20,0,0,
surub,8,0,0,
pereche clema prindere perete,1,0,0,
sina perete,0.6,0,0.0,
surub diblu perete,3,0,0,
surub PFL,20,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
surub,8,0,0,
pereche clema prindere perete,1,0,0,
sina perete,0.541,0,0.0,
surub diblu perete,3,0,0,
surub PFL,14,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
surub,8,0,0,
pereche clema prindere perete,1,0,0,
sina perete,0.541,0,0.0,
surub diblu perete,3,0,0,
surub PFL,14,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
surub,8,0,0,
pereche clema prindere perete,1,0,0,
sina perete,0.4,0,0.0,
surub diblu perete,2,0,0,
surub PFL,18,0,0,
balama aplicata,3,0,0,
amortizor,2,0,0,
surub 3.5x16,12,0,0,
maner,1,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
TOTAL sipca apa,1.7999999999999998,0,0.0
TOTAL plinta,1.7999999999999998,0,0.0
TOTAL surub intre corpuri,10,0,0
TOTAL balama aplicata,21,0,0
TOTAL amortizor,12,0,0
TOTAL surub 3.5x16,128,0,0
TOTAL maner,9,0,0
TOTAL picioare,8,0,0
TOTAL clema plinta,4.0,0,0.0
TOTAL surub blat,8,0,0
TOTAL surub,72,0,0
TOTAL surub PFL,134,0,0
TOTAL pereche glisiera 500 mm,1,0,0
TOTAL pereche clema prindere perete,4,0,0
TOTAL sina perete,2.082,0,0.0
TOTAL surub diblu perete,11,0,0
TOTAL bolt polita,24,0,0
