Bucati,Lungime,Latime,Orientabila,Eticheta,L1,L2,l1,l2
1,600,550,0,C2.jos,1,,1,1
1,782,550,0,C2.lat,1,,,
1,782,550,0,C2.lat,1,,,
1,564,100,0,C2.leg1,1,1,,
1,564,100,0,C2.leg2,1,1,,
1,564,100,0,C2.leg,1,,,
1,600,550,0,C3.jos,1,,1,1
1,782,550,0,C3.lat,1,,,
1,782,550,0,C3.lat,1,,,
1,564,100,0,C3.leg1,1,1,,
1,564,100,0,C3.leg2,1,1,,
1,564,550,0,C3.sep.h,0,,,
1,537,100,0,C3.ser.left,1,,1,1
1,502,100,0,C3.ser.front,1,,,
1,502,100,0,C3.ser.back,1,,,
1,537,100,0,C3.ser.right,1,,1,1
1,950,300,0,C4.lat1,1,,1,1
1,564,299,0,C4.jos,1,,,
1,950,300,0,C4.lat2,1,,1,1
1,564,299,0,C4.sus,1,,,
1,950,318.0,0,C4_fata,2,2,2,2
1,400,300,0,C5.lat1,1,,1,1
1,505,299,0,C5.jos,1,,,
1,400,300,0,C5.lat2,1,,1,1
1,505,299,0,C5.sus,1,,,
1,505,280,0,C5.pol,2,,,
1,400,300,0,C6.lat1,1,,1,1
1,505,299,0,C6.jos,1,,,
1,400,300,0,C6.lat2,1,,1,1
1,505,299,0,C6.sus,1,,,
1,505,280,0,C6.pol,2,,,
1,950,400,0,C7.lat1,1,,1,1
1,364,399,0,C7.jos,1,,,
1,950,400,0,C7.lat2,1,,1,1
1,364,399,0,C7.sus,1,,,
1,364,380,0,C7.pol,2,,,
1,364,380,0,C7.pol,2,,,
1,364,380,0,C7.pol,2,,,
1,364,380,0,C7.pol,2,,,
