Element type,Element Label,Size,Unit,Material,Price
accessory,picioare,6,pieces,picioare,7.5
accessory,clema plinta,3.0,pieces,clema plinta,2.0999999999999996
accessory,surub 3.5x16,24,pieces,surub 3.5x16,0.8400000000000001
accessory,surub blat,4,pieces,surub blat,0.156
accessory,surub,14,pieces,surub,2.4038
accessory,plinta,0.9,pieces,plinta,12.1842
accessory,sipca apa,0.9,pieces,sipca apa,9.0747
pal,C1.jos,0.54,sheet,Alb W962ST2,38.497
pal,C1.lat,0.5052,sheet,Alb W962ST2,32.00594
pal,C1.lat,0.5052,sheet,Alb W962ST2,32.00594
pal,C1.leg1,0.0864,sheet,Alb W962ST2,10.168959999999998
pal,C1.leg2,0.0864,sheet,Alb W962ST2,10.168959999999998
blat,C1.blat,0.54,m,Stejar Alpin Keindl,124
pfl,C1.pfl,0.766976,sheet,Alb,16
accessory,surub PFL,24,pieces,surub PFL,0.6215999999999999
pal,C1.pol,0.50112,sheet,Alb W962ST2,34.35904
accessory,bolt polita,4,pieces,bolt polita,0.1536
accessory,surub PFL,2,pieces,surub PFL,0.0518
front,C1_1,0.382632,m2,A34R3,118
accessory,balama aplicata,3,pieces,balama aplicata,21.6
accessory,amortizor,2,pieces,amortizor,15.48
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,maner,1,pieces,maner,10.0
front,C1_2,0.382632,m2,A34R3,118
accessory,balama aplicata,3,pieces,balama aplicata,21.6
accessory,amortizor,2,pieces,amortizor,15.48
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,maner,1,pieces,maner,10.0
blat,blat1,1.08,m,Stejar Alpin Keindl,249
blat,blat1,0.84,0,,
accessory,picioare,6,pieces,picioare,7.5
accessory,clema plinta,3.0,pieces,clema plinta,2.0999999999999996
accessory,surub 3.5x16,24,pieces,surub 3.5x16,0.8400000000000001
accessory,surub blat,4,pieces,surub blat,0.156
accessory,surub,14,pieces,surub,2.4038
accessory,plinta,0.9,pieces,plinta,12.1842
accessory,sipca apa,0.9,pieces,sipca apa,9.0747
pal,C2.jos,0.54,sheet,Alb W962ST2,38.497
pal,C2.lat,0.5052,sheet,Alb W962ST2,32.00594
pal,C2.lat,0.5052,sheet,Alb W962ST2,32.00594
pal,C2.leg1,0.0864,sheet,Alb W962ST2,10.168959999999998
pal,C2.leg2,0.0864,sheet,Alb W962ST2,10.168959999999998
blat,C2.blat,0.54,m,Stejar Alpin Keindl,124
pfl,C2.pfl,0.766976,sheet,Alb,16
accessory,surub PFL,24,pieces,surub PFL,0.6215999999999999
pal,C2.pol,0.50112,sheet,Alb W962ST2,34.35904
accessory,bolt polita,4,pieces,bolt polita,0.1536
accessory,surub PFL,2,pieces,surub PFL,0.0518
front,C2_1,0.382632,m2,A34R3,118
accessory,balama aplicata,3,pieces,balama aplicata,21.6
accessory,amortizor,2,pieces,amortizor,15.48
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,maner,1,pieces,maner,10.0
front,C2_2,0.382632,m2,A34R3,118
accessory,balama aplicata,3,pieces,balama aplicata,21.6
accessory,amortizor,2,pieces,amortizor,15.48
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,maner,1,pieces,maner,10.0
accessory,picioare,4,pieces,picioare,5.0
accessory,clema plinta,2.0,pieces,clema plinta,1.4
accessory,surub 3.5x16,16,pieces,surub 3.5x16,0.56
accessory,surub blat,4,pieces,surub blat,0.156
accessory,surub,14,pieces,surub,2.4038
accessory,plinta,0.8,pieces,plinta,10.830400000000001
accessory,sipca apa,0.8,pieces,sipca apa,8.0664
pal,C3.jos,0.48,sheet,Alb W962ST2,34.14
pal,C3.lat,0.5052,sheet,Alb W962ST2,32.00594
pal,C3.lat,0.5052,sheet,Alb W962ST2,32.00594
pal,C3.leg1,0.0764,sheet,Alb W962ST2,9.45496
pal,C3.leg2,0.0764,sheet,Alb W962ST2,9.45496
blat,C3.blat,0.48,m,Stejar Alpin Keindl,111
pfl,C3.pfl,0.681376,sheet,Alb,15
accessory,surub PFL,22,pieces,surub PFL,0.5698
pal,C3.pol,0.44312,sheet,Alb W962ST2,30.62304
accessory,bolt polita,4,pieces,bolt polita,0.1536
accessory,surub PFL,2,pieces,surub PFL,0.0518
front,C3_1,0.339832,m2,A34R3,105
accessory,balama aplicata,3,pieces,balama aplicata,21.6
accessory,amortizor,2,pieces,amortizor,15.48
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,maner,1,pieces,maner,10.0
front,C3_2,0.339832,m2,A34R3,105
accessory,balama aplicata,3,pieces,balama aplicata,21.6
accessory,amortizor,2,pieces,amortizor,15.48
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,maner,1,pieces,maner,10.0
