Length;Width;Qty;Label;Enabled
900;600;1;C1.jos;TRUE
842;600;1;C1.lat;TRUE
842;600;1;C1.lat;TRUE
864;100;1;C1.leg1;TRUE
864;100;1;C1.leg2;TRUE
864;580;1;C1.pol;TRUE
900;600;1;C2.jos;TRUE
842;600;1;C2.lat;TRUE
842;600;1;C2.lat;TRUE
864;100;1;C2.leg1;TRUE
864;100;1;C2.leg2;TRUE
864;580;1;C2.pol;TRUE
800;600;1;C3.jos;TRUE
842;600;1;C3.lat;TRUE
842;600;1;C3.lat;TRUE
764;100;1;C3.leg1;TRUE
764;100;1;C3.leg2;TRUE
764;580;1;C3.pol;TRUE
587;200;1;C3.ser.left;TRUE
702;200;1;C3.ser.front;TRUE
702;200;1;C3.ser.back;TRUE
587;200;1;C3.ser.right;TRUE
587;200;1;C3.ser.left;TRUE
702;200;1;C3.ser.front;TRUE
702;200;1;C3.ser.back;TRUE
587;200;1;C3.ser.right;TRUE
587;100;1;C3.ser.left;TRUE
702;100;1;C3.ser.front;TRUE
702;100;1;C3.ser.back;TRUE
587;100;1;C3.ser.right;TRUE
600;600;1;C4.jos;TRUE
842;600;1;C4.lat;TRUE
842;600;1;C4.lat;TRUE
564;100;1;C4.leg1;TRUE
564;100;1;C4.leg2;TRUE
600;400;1;C5.lat1;TRUE
864;399;1;C5.jos;TRUE
600;400;1;C5.lat2;TRUE
864;399;1;C5.sus;TRUE
864;380;1;C5.pol;TRUE
600;400;1;c6.lat1;TRUE
764;399;1;c6.jos;TRUE
600;400;1;c6.lat2;TRUE
764;399;1;c6.sus;TRUE
764;380;1;c6.pol;TRUE
600;400;1;c7.lat1;TRUE
564;399;1;c7.jos;TRUE
600;400;1;c7.lat2;TRUE
564;399;1;c7.sus;TRUE
564;380;1;c7.pol;TRUE
