Element type,Element Label,Size,Unit,Material,Price
accessory,picioare,4,pieces,picioare,5.0
accessory,clema plinta,2.0,pieces,clema plinta,1.4
accessory,surub 3.5x16,16,pieces,surub 3.5x16,0.56
accessory,surub blat,4,pieces,surub blat,0.156
accessory,surub,14,pieces,surub,2.4038
accessory,plinta,0.6,pieces,plinta,8.1228
pal,T1.jos,0.36,sheet,Alb W962ST2,26.426000000000002
pal,T1.lat,1.1892,sheet,Alb W962ST2,75.07574
pal,T1.lat,1.1892,sheet,Alb W962ST2,75.07574
pal,T1.sus,0.337836,sheet,Alb W962ST2,21.01348
pfl,T1.pfl,1.189616,sheet,Alb,26
accessory,surub PFL,34,pieces,surub PFL,0.8805999999999999
front,T1_1,1.189616,m2,A34R3,368
accessory,balama aplicata,3,pieces,balama aplicata,21.6
accessory,amortizor,2,pieces,amortizor,15.48
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,maner,1,pieces,maner,10.0
accessory,picioare,4,pieces,picioare,5.0
accessory,clema plinta,2.0,pieces,clema plinta,1.4
accessory,surub 3.5x16,16,pieces,surub 3.5x16,0.56
accessory,surub blat,4,pieces,surub blat,0.156
accessory,surub,14,pieces,surub,2.4038
accessory,plinta,0.6,pieces,plinta,8.1228
accessory,sipca apa,0.6,pieces,sipca apa,6.0498
pal,C1.jos,0.3,sheet,Alb W962ST2,22.712
pal,C1.lat,0.362,sheet,Alb W962ST2,22.58468
pal,C1.lat,0.362,sheet,Alb W962ST2,22.58468
pal,C1.leg1,0.0564,sheet,Alb W962ST2,7.02696
pal,C1.leg2,0.0564,sheet,Alb W962ST2,7.02696
pfl,C1.pfl,0.439848,sheet,Alb,9
accessory,surub PFL,18,pieces,surub PFL,0.4662
pal,C1.ser.jos,0.23472,sheet,Alb W962ST2,13.0
pal,C1.ser.sp,0.032436,sheet,Alb W962ST2,2.70289
accessory,tandembox M,1,pieces,tandembox M,200.0
accessory,surub 3.5x16,18,pieces,surub 3.5x16,0.6300000000000001
pal,C1.ser.jos,0.23472,sheet,Alb W962ST2,13.0
pal,C1.ser.sp,0.032436,sheet,Alb W962ST2,2.70289
accessory,tandembox M,1,pieces,tandembox M,200.0
accessory,surub 3.5x16,18,pieces,surub 3.5x16,0.6300000000000001
pal,C1.ser.jos,0.23472,sheet,Alb W962ST2,13.0
pal,C1.ser.sp,0.087291,sheet,Alb W962ST2,6.70289
accessory,tandembox D,1,pieces,tandembox D,236.4
accessory,surub 3.5x16,18,pieces,surub 3.5x16,0.6300000000000001
front,C1_1,0.175224,m2,A34R3,54
accessory,maner,1,pieces,maner,10.0
front,C1_2,0.175224,m2,A34R3,54
accessory,maner,1,pieces,maner,10.0
front,C1_3,0.087016,m2,A34R3,26
accessory,maner,1,pieces,maner,10.0
pal,C2.jos,0.81,sheet,Alb W962ST2,46.0
pal,C2.lat1,0.4344,sheet,Alb W962ST2,26.58468
pal,C2.lat2,0.4344,sheet,Alb W962ST2,26.58468
