Length;Width;Qty;Label;Enabled
600;600;1;T1.jos;TRUE
1982;600;1;T1.lat;TRUE
1982;600;1;T1.lat;TRUE
564;599;1;T1.sus;TRUE
600;500;1;C1.jos;TRUE
724;500;1;C1.lat;TRUE
724;500;1;C1.lat;TRUE
564;100;1;C1.leg1;TRUE
564;100;1;C1.leg2;TRUE
489;480;1;C1.ser.jos;TRUE
477;68;1;C1.ser.sp;TRUE
489;480;1;C1.ser.jos;TRUE
477;68;1;C1.ser.sp;TRUE
489;480;1;C1.ser.jos;TRUE
477;183;1;C1.ser.sp;TRUE
900;900;1;C2.jos;TRUE
724;600;1;C2.lat1;TRUE
724;600;1;C2.lat2;TRUE
882;724;1;C2.spate;TRUE
864;100;1;C2.leg;TRUE
864;100;1;C2.leg;TRUE
282;100;1;C2.leg;TRUE
600;500;1;C3.jos;TRUE
724;500;1;C3.lat;TRUE
724;500;1;C3.lat;TRUE
564;100;1;C3.leg1;TRUE
564;100;1;C3.leg2;TRUE
489;480;1;C3.ser.jos;TRUE
477;68;1;C3.ser.sp;TRUE
564;480;1;C3.pol;TRUE
564;480;1;C3.pol;TRUE
1100;500;1;C5.jos;TRUE
724;500;1;C5.lat;TRUE
724;500;1;C5.lat;TRUE
1064;100;1;C5.leg1;TRUE
1064;100;1;C5.leg2;TRUE
1064;100;1;C5.leg;TRUE
150;500;1;C6.jos;TRUE
724;500;1;C6.lat;TRUE
724;500;1;C6.lat;TRUE
114;100;1;C6.leg1;TRUE
114;100;1;C6.leg2;TRUE
500;400;1;S1.lat1;TRUE
564;399;1;S1.jos;TRUE
500;400;1;S1.lat2;TRUE
564;399;1;S1.sus;TRUE
564;380;1;S1.pol;TRUE
500;400;1;S2.lat1;TRUE
264;399;1;S2.jos;TRUE
500;400;1;S2.lat2;TRUE
264;399;1;S2.sus;TRUE
264;380;1;S2.pol;TRUE
564;682;1;S3.jos;TRUE
564;682;1;S3.sus;TRUE
564;682;1;S3.pol;TRUE
500;682;1;S3.spate;TRUE
500;400;1;S3.lat1;TRUE
500;400;1;S3.lat2;TRUE
500;400;1;S4.lat1;TRUE
176;399;1;S4.jos;TRUE
500;400;1;S4.lat2;TRUE
176;399;1;S4.sus;TRUE
450;400;1;S5.lat1;TRUE
564;399;1;S5.jos;TRUE
450;400;1;S5.lat2;TRUE
564;399;1;S5.sus;TRUE
