Nume,Bucati,Pret/buc,Pret total,Observatii
picioare,4,0,0,
clema plinta,2.0,0,0.0,
surub 3.5x16,16,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,0.6,0,0.0,
surub PFL,34,0,0,
balama aplicata,3,0,0,
amortizor,2,0,0,
surub 3.5x16,12,0,0,
maner,1,0,0,
picioare,4,0,0,
clema plinta,2.0,0,0.0,
surub 3.5x16,16,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,0.6,0,0.0,
sipca apa,0.6,0,0.0,
surub PFL,18,0,0,
tandembox M,1,0,0,
surub 3.5x16,18,0,0,
tandembox M,1,0,0,
surub 3.5x16,18,0,0,
tandembox D,1,0,0,
surub 3.5x16,18,0,0,
maner,1,0,0,
maner,1,0,0,
maner,1,0,0,
surub PFL,22,0,0,
balama usa franta,2,0,0,
balama 170 deg,2,0,0,
surub 3.5x16,16,0,0,
picioare,6,0,0,
clema plinta,3,0,0,
surub 3.5x16,12,0,0,
surub blat,4,0,0,
L,2,0,0,
surub,19,0,0,
plinta,0.6,0,0.0,
sipca apa,1.8,0,0.0,
picioare,4,0,0,
clema plinta,2.0,0,0.0,
surub 3.5x16,16,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,0.6,0,0.0,
sipca apa,0.6,0,0.0,
surub PFL,18,0,0,
tandembox M,1,0,0,
surub 3.5x16,18,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
maner,1,0,0,
sipca apa,0.45,0,0.0,
plinta,0.45,0,0.0,
surub intre corpuri,10,0,0,
balama aplicata,3,0,0,
amortizor,2,0,0,
surub 3.5x16,12,0,0,
maner,1,0,0,
picioare,6,0,0,
clema plinta,3.0,0,0.0,
surub 3.5x16,24,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,1.1,0,0.0,
sipca apa,1.1,0,0.0,
surub PFL,24,0,0,
balama aplicata,3,0,0,
amortizor,2,0,0,
surub 3.5x16,12,0,0,
maner,1,0,0,
balama aplicata,3,0,0,
amortizor,2,0,0,
surub 3.5x16,12,0,0,
maner,1,0,0,
picioare,2,0,0,
clema plinta,1.0,0,0.0,
surub 3.5x16,8,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,0.15,0,0.0,
sipca apa,0.15,0,0.0,
surub PFL,12,0,0,
surub 3.5x16,8,0,0,
surub 3.5x16,8,0,0,
Joly150500,1,0,0,
surub PFL,12,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
surub,8,0,0,
pereche clema prindere perete,1,0,0,
sina perete,0.6,0,0.0,
surub diblu perete,3,0,0,
surub PFL,14,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
surub,8,0,0,
pereche clema prindere perete,1,0,0,
sina perete,0.3,0,0.0,
surub diblu perete,1,0,0,
surub PFL,10,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
surub PFL,14,0,0,
balama usa franta,2,0,0,
balama 170 deg,2,0,0,
surub 3.5x16,16,0,0,
surub,20,0,0,
pereche clema prindere perete,1,0,0,
sina perete,0.6,0,0.0,
surub diblu perete,3,0,0,
surub,8,0,0,
pereche clema prindere perete,1,0,0,
sina perete,0.212,0,0.0,
surub diblu perete,1,0,0,
surub PFL,8,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
surub,8,0,0,
pereche clema prindere perete,1,0,0,
sina perete,0.6,0,0.0,
surub diblu perete,3,0,0,
surub PFL,14,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
balama aplicata,2,0,0,
amortizor,1,0,0,
surub 3.5x16,8,0,0,
maner,1,0,0,
TOTAL picioare,26,0,0
TOTAL clema plinta,13.0,0,0.0
TOTAL surub 3.5x16,316,0,0
TOTAL surub blat,24,0,0
TOTAL surub,141,0,0
TOTAL plinta,4.1000000000000005,0,0.0
TOTAL surub PFL,208,0,0
TOTAL balama aplicata,26,0,0
TOTAL amortizor,15,0,0
TOTAL maner,15,0,0
TOTAL sipca apa,4.700000000000001,0,0.0
TOTAL tandembox M,3,0,0
TOTAL tandembox D,1,0,0
TOTAL balama usa franta,4,0,0
TOTAL balama 170 deg,4,0,0
TOTAL L,2,0,0
TOTAL bolt polita,16,0,0
TOTAL surub intre corpuri,10,0,0
TOTAL Joly150500,1,0,0
TOTAL pereche clema prindere perete,5,0,0
TOTAL sina perete,2.312,0,0.0
TOTAL surub diblu perete,11,0,0
