Bucati,Lungime,Latime,Orientabila,Eticheta,L1,L2,l1,l2
1,600,600,0,T1.jos,1,,1,1
1,1982,600,0,T1.lat,1,,,
1,1982,600,0,T1.lat,1,,,
1,564,599,0,T1.sus,1,,,
1,600,500,0,C1.jos,1,,1,1
1,724,500,0,C1.lat,1,,,
1,724,500,0,C1.lat,1,,,
1,564,100,0,C1.leg1,1,1,,
1,564,100,0,C1.leg2,1,1,,
1,489,480,0,C1.ser.jos,,,,
1,477,68,0,C1.ser.sp,1,,,
1,489,480,0,C1.ser.jos,,,,
1,477,68,0,C1.ser.sp,1,,,
1,489,480,0,C1.ser.jos,,,,
1,477,183,0,C1.ser.sp,1,,,
1,900,900,0,C2.jos,,,,
1,724,600,0,C2.lat1,1,,,
1,724,600,0,C2.lat2,1,,,
1,882,724,0,C2.spate,,,,
1,864,100,0,C2.leg,1,,,
1,864,100,0,C2.leg,1,,,
1,282,100,0,C2.leg,1,,,
1,600,500,0,C3.jos,1,,1,1
1,724,500,0,C3.lat,1,,,
1,724,500,0,C3.lat,1,,,
1,564,100,0,C3.leg1,1,1,,
1,564,100,0,C3.leg2,1,1,,
1,489,480,0,C3.ser.jos,,,,
1,477,68,0,C3.ser.sp,1,,,
1,564,480,0,C3.pol,1,,,
1,564,480,0,C3.pol,1,,,
1,1100,500,0,C5.jos,1,,1,1
1,724,500,0,C5.lat,1,,,
1,724,500,0,C5.lat,1,,,
1,1064,100,0,C5.leg1,1,1,,
1,1064,100,0,C5.leg2,1,1,,
1,1064,100,0,C5.leg,1,,,
1,150,500,0,C6.jos,1,,1,1
1,724,500,0,C6.lat,1,,,
1,724,500,0,C6.lat,1,,,
1,114,100,0,C6.leg1,1,1,,
1,114,100,0,C6.leg2,1,1,,
1,500,400,0,S1.lat1,1,,1,1
1,564,399,0,S1.jos,1,,,
1,500,400,0,S1.lat2,1,,1,1
1,564,399,0,S1.sus,1,,,
1,564,380,0,S1.pol,2,,,
1,500,400,0,S2.lat1,1,,1,1
1,264,399,0,S2.jos,1,,,
1,500,400,0,S2.lat2,1,,1,1
1,264,399,0,S2.sus,1,,,
1,264,380,0,S2.pol,2,,,
1,564,682,0,S3.jos,,,,
1,564,682,0,S3.sus,,,,
1,564,682,0,S3.pol,,,,
1,500,682,0,S3.spate,,,,
1,500,400,0,S3.lat1,1,,1,1
1,500,400,0,S3.lat2,1,,1,1
1,500,400,0,S4.lat1,1,,1,1
1,176,399,0,S4.jos,1,,,
1,500,400,0,S4.lat2,1,,1,1
1,176,399,0,S4.sus,1,,,
1,450,400,0,S5.lat1,1,,1,1
1,564,399,0,S5.jos,1,,,
1,450,400,0,S5.lat2,1,,1,1
1,564,399,0,S5.sus,1,,,
