Element type,Element Label,Size,Unit,Material,Price
accessory,surub,8,pieces,surub,1.3736
pal,T1.lat1,1.375,sheet,Alb W962ST2,91.852
pal,T1.lat2,1.375,sheet,Alb W962ST2,91.852
pal,T1.jos,0.3652,sheet,Alb W962ST2,23.37048
pal,T1.sus,0.3652,sheet,Alb W962ST2,23.37048
pal,T1_sep_h1176,0.35192,sheet,Alb W962ST2,24.88704
pal,T1_sep_h1484,0.35192,sheet,Alb W962ST2,24.88704
pal,T1_sep_h1793,0.35192,sheet,Alb W962ST2,24.88704
pal,T1_sep_h2101,0.35192,sheet,Alb W962ST2,24.88704
accessory,surub,8,pieces,surub,1.3736
pal,T1.lat1,1.375,sheet,Alb W962ST2,91.852
pal,T1.lat2,1.375,sheet,Alb W962ST2,91.852
pal,T1.jos,0.3652,sheet,Alb W962ST2,23.37048
pal,T1.sus,0.3652,sheet,Alb W962ST2,23.37048
pal,T1_sep_h1176,0.35192,sheet,Alb W962ST2,24.88704
pal,T1_sep_h1484,0.35192,sheet,Alb W962ST2,24.88704
pal,T1_sep_h1793,0.35192,sheet,Alb W962ST2,24.88704
pal,T1_sep_h2101,0.35192,sheet,Alb W962ST2,24.88704
accessory,surub,8,pieces,surub,1.3736
pal,T2.lat1,1.375,sheet,Alb W962ST2,91.852
pal,T2.lat2,1.375,sheet,Alb W962ST2,91.852
pal,T2.jos,0.3652,sheet,Alb W962ST2,23.37048
pal,T2.sus,0.3652,sheet,Alb W962ST2,23.37048
pal,T2.ser.front,0.1276,sheet,Alb W962ST2,12.983319999999999
pal,T2.ser.long,0.1002,sheet,Alb W962ST2,8.57714
pal,T2.ser.right,0.1002,sheet,Alb W962ST2,8.57714
pal,T2.ser.back,0.1276,sheet,Alb W962ST2,12.983319999999999
pal,T2.ser.f,0.301602,sheet,Alb W962ST2,17.0
accessory,pereche glisiera 500 mm,1,pieces,pereche glisiera 500 mm,49.8967
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,surub,8,pieces,surub,1.3736
accessory,surub PFL,22,pieces,surub PFL,0.5698
pal,T2.ser.front,0.1276,sheet,Alb W962ST2,12.983319999999999
pal,T2.ser.long,0.1002,sheet,Alb W962ST2,8.57714
pal,T2.ser.right,0.1002,sheet,Alb W962ST2,8.57714
pal,T2.ser.back,0.1276,sheet,Alb W962ST2,12.983319999999999
pal,T2.ser.f,0.301602,sheet,Alb W962ST2,17.0
accessory,pereche glisiera 500 mm,1,pieces,pereche glisiera 500 mm,49.8967
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,surub,8,pieces,surub,1.3736
accessory,surub PFL,22,pieces,surub PFL,0.5698
pal,T2.sep.h,0.3652,sheet,Alb W962ST2,23.37048
accessory,surub,4,pieces,surub,0.6868
pfl,T2.pfl,1.737216,sheet,Alb,38
accessory,surub PFL,44,pieces,surub PFL,1.1396
accessory,bara haine dr,0.7,pieces,bara haine dr,25.375262499999998
accessory,bara haine dr,0.7,pieces,bara haine dr,25.375262499999998
accessory,surub,8,pieces,surub,1.3736
pal,T2.lat1,1.375,sheet,Alb W962ST2,91.852
pal,T2.lat2,1.375,sheet,Alb W962ST2,91.852
pal,T2.jos,0.3652,sheet,Alb W962ST2,23.37048
pal,T2.sus,0.3652,sheet,Alb W962ST2,23.37048
pal,T2.ser.front,0.1276,sheet,Alb W962ST2,12.983319999999999
pal,T2.ser.long,0.1002,sheet,Alb W962ST2,8.57714
pal,T2.ser.right,0.1002,sheet,Alb W962ST2,8.57714
pal,T2.ser.back,0.1276,sheet,Alb W962ST2,12.983319999999999
pal,T2.ser.f,0.301602,sheet,Alb W962ST2,17.0
accessory,pereche glisiera 500 mm,1,pieces,pereche glisiera 500 mm,49.8967
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,surub,8,pieces,surub,1.3736
accessory,surub PFL,22,pieces,surub PFL,0.5698
pal,T2.ser.front,0.1276,sheet,Alb W962ST2,12.983319999999999
pal,T2.ser.long,0.1002,sheet,Alb W962ST2,8.57714
pal,T2.ser.right,0.1002,sheet,Alb W962ST2,8.57714
pal,T2.ser.back,0.1276,sheet,Alb W962ST2,12.983319999999999
pal,T2.ser.f,0.301602,sheet,Alb W962ST2,17.0
accessory,pereche glisiera 500 mm,1,pieces,pereche glisiera 500 mm,49.8967
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,surub,8,pieces,surub,1.3736
accessory,surub PFL,22,pieces,surub PFL,0.5698
pal,T2.sep.h,0.3652,sheet,Alb W962ST2,23.37048
accessory,surub,4,pieces,surub,0.6868
pfl,T2.pfl,1.737216,sheet,Alb,38
accessory,surub PFL,44,pieces,surub PFL,1.1396
accessory,bara haine dr,0.7,pieces,bara haine dr,25.375262499999998
accessory,bara haine dr,0.7,pieces,bara haine dr,25.375262499999998
pal,T5.jos,0.898448,sheet,Alb W962ST2,51.0
pal,T5.sus,0.898448,sheet,Alb W962ST2,51.0
pal,T5.pol,0.898448,sheet,Alb W962ST2,51.0
pal,T5.pol,0.898448,sheet,Alb W962ST2,51.0
pal,T5.pol,0.898448,sheet,Alb W962ST2,51.0
pal,T5.pol,0.898448,sheet,Alb W962ST2,51.0
