Length;Width;Qty;Label;Enabled
2500;550;1;T1.lat1;TRUE
2500;550;1;T1.lat2;TRUE
664;550;1;T1.jos;TRUE
664;550;1;T1.sus;TRUE
664;530;1;T1_sep_h1176;TRUE
664;530;1;T1_sep_h1484;TRUE
664;530;1;T1_sep_h1793;TRUE
664;530;1;T1_sep_h2101;TRUE
2500;550;1;T1.lat1;TRUE
2500;550;1;T1.lat2;TRUE
664;550;1;T1.jos;TRUE
664;550;1;T1.sus;TRUE
664;530;1;T1_sep_h1176;TRUE
664;530;1;T1_sep_h1484;TRUE
664;530;1;T1_sep_h1793;TRUE
664;530;1;T1_sep_h2101;TRUE
2500;550;1;T2.lat1;TRUE
2500;550;1;T2.lat2;TRUE
664;550;1;T2.jos;TRUE
664;550;1;T2.sus;TRUE
638;200;1;T2.ser.front;TRUE
501;200;1;T2.ser.long;TRUE
501;200;1;T2.ser.right;TRUE
638;200;1;T2.ser.back;TRUE
602;501;1;T2.ser.f;TRUE
638;200;1;T2.ser.front;TRUE
501;200;1;T2.ser.long;TRUE
501;200;1;T2.ser.right;TRUE
638;200;1;T2.ser.back;TRUE
602;501;1;T2.ser.f;TRUE
664;550;1;T2.sep.h;TRUE
2500;550;1;T2.lat1;TRUE
2500;550;1;T2.lat2;TRUE
664;550;1;T2.jos;TRUE
664;550;1;T2.sus;TRUE
638;200;1;T2.ser.front;TRUE
501;200;1;T2.ser.long;TRUE
501;200;1;T2.ser.right;TRUE
638;200;1;T2.ser.back;TRUE
602;501;1;T2.ser.f;TRUE
638;200;1;T2.ser.front;TRUE
501;200;1;T2.ser.long;TRUE
501;200;1;T2.ser.right;TRUE
638;200;1;T2.ser.back;TRUE
602;501;1;T2.ser.f;TRUE
664;550;1;T2.sep.h;TRUE
964;932;1;T5.jos;TRUE
964;932;1;T5.sus;TRUE
964;932;1;T5.pol;TRUE
964;932;1;T5.pol;TRUE
964;932;1;T5.pol;TRUE
964;932;1;T5.pol;TRUE
964;932;1;T5.pol;TRUE
964;932;1;T5.pol;TRUE
964;932;1;T5.pol;TRUE
2500;932;1;T5.spate;TRUE
2500;500;1;T5.lat1;TRUE
2500;550;1;T5.lat2;TRUE
2500;500;1;T6.lat1;TRUE
2500;500;1;T6.lat2;TRUE
1464;500;1;T6.jos;TRUE
1464;500;1;T6.sus;TRUE
1464;480;1;T6.pol;TRUE
1464;480;1;T6.pol;TRUE
