Nume,Bucati,Pret/buc,Pret total,Observatii
surub,8,0,0,
surub,8,0,0,
surub,8,0,0,
pereche glisiera 500 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,22,0,0,
pereche glisiera 500 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,22,0,0,
surub,4,0,0,
surub PFL,44,0,0,
bara haine dr,0.7,0,0.0,
bara haine dr,0.7,0,0.0,
surub,8,0,0,
pereche glisiera 500 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,22,0,0,
pereche glisiera 500 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,22,0,0,
surub,4,0,0,
surub PFL,44,0,0,
bara haine dr,0.7,0,0.0,
bara haine dr,0.7,0,0.0,
surub PFL,48,0,0,
balama usa franta,2,0,0,
balama 170 deg,2,0,0,
surub 3.5x16,16,0,0,
surub,20,0,0,
pereche clema prindere perete,1,0,0,
sina perete,1.0,0,0.0,
surub diblu perete,5,0,0,
surub,8,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
surub PFL,54,0,0,
bara haine dr,1.5,0,0.0,
TOTAL surub,100,0,0
TOTAL pereche glisiera 500 mm,4,0,0
TOTAL surub 3.5x16,64,0,0
TOTAL surub PFL,282,0,0
TOTAL bara haine dr,4.3,0,0.0
TOTAL balama usa franta,2,0,0
TOTAL balama 170 deg,2,0,0
TOTAL pereche clema prindere perete,1,0,0
TOTAL sina perete,1.0,0,0.0
TOTAL surub diblu perete,5,0,0
TOTAL bolt polita,8,0,0
