Bucati,Lungime,Latime,Orientabila,Eticheta,L1,L2,l1,l2
1,2500,550,0,T1.lat1,1,,1,1
1,2500,550,0,T1.lat2,1,,1,1
1,664,550,0,T1.jos,1,,,
1,664,550,0,T1.sus,1,,,
1,664,530,0,T1_sep_h1176,2,,,
1,664,530,0,T1_sep_h1484,2,,,
1,664,530,0,T1_sep_h1793,2,,,
1,664,530,0,T1_sep_h2101,2,,,
1,2500,550,0,T1.lat1,1,,1,1
1,2500,550,0,T1.lat2,1,,1,1
1,664,550,0,T1.jos,1,,,
1,664,550,0,T1.sus,1,,,
1,664,530,0,T1_sep_h1176,2,,,
1,664,530,0,T1_sep_h1484,2,,,
1,664,530,0,T1_sep_h1793,2,,,
1,664,530,0,T1_sep_h2101,2,,,
1,2500,550,0,T2.lat1,1,,1,1
1,2500,550,0,T2.lat2,1,,1,1
1,664,550,0,T2.jos,1,,,
1,664,550,0,T2.sus,1,,,
1,638,200,0,T2.ser.front,1,1,1,1
1,501,200,0,T2.ser.long,1,1,,
1,501,200,0,T2.ser.right,1,1,,
1,638,200,0,T2.ser.back,1,1,1,1
1,602,501,0,T2.ser.f,,,,
1,638,200,0,T2.ser.front,1,1,1,1
1,501,200,0,T2.ser.long,1,1,,
1,501,200,0,T2.ser.right,1,1,,
1,638,200,0,T2.ser.back,1,1,1,1
1,602,501,0,T2.ser.f,,,,
1,664,550,0,T2.sep.h,1,,,
1,2500,550,0,T2.lat1,1,,1,1
1,2500,550,0,T2.lat2,1,,1,1
1,664,550,0,T2.jos,1,,,
1,664,550,0,T2.sus,1,,,
1,638,200,0,T2.ser.front,1,1,1,1
1,501,200,0,T2.ser.long,1,1,,
1,501,200,0,T2.ser.right,1,1,,
1,638,200,0,T2.ser.back,1,1,1,1
1,602,501,0,T2.ser.f,,,,
1,638,200,0,T2.ser.front,1,1,1,1
1,501,200,0,T2.ser.long,1,1,,
1,501,200,0,T2.ser.right,1,1,,
1,638,200,0,T2.ser.back,1,1,1,1
1,602,501,0,T2.ser.f,,,,
1,664,550,0,T2.sep.h,1,,,
1,964,932,0,T5.jos,,,,
1,964,932,0,T5.sus,,,,
1,964,932,0,T5.pol,,,,
1,964,932,0,T5.pol,,,,
1,964,932,0,T5.pol,,,,
1,964,932,0,T5.pol,,,,
1,964,932,0,T5.pol,,,,
1,964,932,0,T5.pol,,,,
1,964,932,0,T5.pol,,,,
1,2500,932,0,T5.spate,,,,
1,2500,500,0,T5.lat1,1,,1,1
1,2500,550,0,T5.lat2,1,,1,1
1,2500,500,0,T6.lat1,1,,1,1
1,2500,500,0,T6.lat2,1,,1,1
1,1464,500,0,T6.jos,1,,,
1,1464,500,0,T6.sus,1,,,
1,1464,480,0,T6.pol,1,,,
1,1464,480,0,T6.pol,1,,,
