Element type,Element Label,Size,Unit,Material,Price
accessory,surub,8,pieces,surub,1.3736
accessory,pereche clema prindere perete,1,pieces,pereche clema prindere perete,9.8
accessory,sina perete,0.492,pieces,sina perete,4.9692
accessory,surub diblu perete,2,pieces,surub diblu perete,4.78
pal,R1.lat1,0.06888,sheet,Smoke Green K521 SU,11.681920000000002
pal,R1.jos,0.062928,sheet,Smoke Green K521 SU,8.356160000000001
pal,R1.lat2,0.06888,sheet,Smoke Green K521 SU,11.681920000000002
pal,R1.sus,0.062928,sheet,Smoke Green K521 SU,8.356160000000001
accessory,surub PFL,12,pieces,surub PFL,0.31079999999999997
pal,R1.sep.h1,0.062928,sheet,Smoke Green K521 SU,8.356160000000001
accessory,surub,4,pieces,surub,0.6868
pal,R1.sep.h,0.062928,sheet,Smoke Green K521 SU,8.356160000000001
accessory,surub,4,pieces,surub,0.6868
pal,R1.sep.v,0.01904,sheet,Smoke Green K521 SU,2.0304
accessory,surub,4,pieces,surub,0.6868
pal,R1.sep.v,0.01904,sheet,Smoke Green K521 SU,2.0304
accessory,surub,4,pieces,surub,0.6868
pal,R1.sep.v,0.01904,sheet,Smoke Green K521 SU,2.0304
accessory,surub,4,pieces,surub,0.6868
pal,R1.sep.v,0.01904,sheet,Smoke Green K521 SU,2.0304
accessory,surub,4,pieces,surub,0.6868
pal,R1.sep.v,0.01904,sheet,Smoke Green K521 SU,2.0304
accessory,surub,4,pieces,surub,0.6868
pal,R1.sep.v,0.01904,sheet,Smoke Green K521 SU,2.0304
accessory,surub,4,pieces,surub,0.6868
accessory,surub,8,pieces,surub,1.3736
accessory,pereche clema prindere perete,1,pieces,pereche clema prindere perete,9.8
accessory,sina perete,0.492,pieces,sina perete,4.9692
accessory,surub diblu perete,2,pieces,surub diblu perete,4.78
pal,R1.lat1,0.06888,sheet,Smoke Green K521 SU,11.681920000000002
pal,R1.jos,0.062928,sheet,Smoke Green K521 SU,8.356160000000001
pal,R1.lat2,0.06888,sheet,Smoke Green K521 SU,11.681920000000002
pal,R1.sus,0.062928,sheet,Smoke Green K521 SU,8.356160000000001
accessory,surub PFL,12,pieces,surub PFL,0.31079999999999997
pal,R1.sep.h1,0.062928,sheet,Smoke Green K521 SU,8.356160000000001
accessory,surub,4,pieces,surub,0.6868
pal,R1.sep.h,0.062928,sheet,Smoke Green K521 SU,8.356160000000001
accessory,surub,4,pieces,surub,0.6868
pal,R1.sep.v,0.01904,sheet,Smoke Green K521 SU,2.0304
accessory,surub,4,pieces,surub,0.6868
pal,R1.sep.v,0.01904,sheet,Smoke Green K521 SU,2.0304
accessory,surub,4,pieces,surub,0.6868
pal,R1.sep.v,0.01904,sheet,Smoke Green K521 SU,2.0304
accessory,surub,4,pieces,surub,0.6868
pal,R1.sep.v,0.01904,sheet,Smoke Green K521 SU,2.0304
accessory,surub,4,pieces,surub,0.6868
pal,R1.sep.v,0.01904,sheet,Smoke Green K521 SU,2.0304
accessory,surub,4,pieces,surub,0.6868
pal,R1.sep.v,0.01904,sheet,Smoke Green K521 SU,2.0304
accessory,surub,4,pieces,surub,0.6868
