Length;Width;Qty;Label;Enabled
492;140;1;R1.lat1;TRUE
456;138;1;R1.jos;TRUE
492;140;1;R1.lat2;TRUE
456;138;1;R1.sus;TRUE
456;138;1;R1.sep.h1;TRUE
456;138;1;R1.sep.h;TRUE
140.0;136;1;R1.sep.v;TRUE
140.0;136;1;R1.sep.v;TRUE
140.0;136;1;R1.sep.v;TRUE
140.0;136;1;R1.sep.v;TRUE
140.0;136;1;R1.sep.v;TRUE
140.0;136;1;R1.sep.v;TRUE
492;140;1;R1.lat1;TRUE
456;138;1;R1.jos;TRUE
492;140;1;R1.lat2;TRUE
456;138;1;R1.sus;TRUE
456;138;1;R1.sep.h1;TRUE
456;138;1;R1.sep.h;TRUE
140.0;136;1;R1.sep.v;TRUE
140.0;136;1;R1.sep.v;TRUE
140.0;136;1;R1.sep.v;TRUE
140.0;136;1;R1.sep.v;TRUE
140.0;136;1;R1.sep.v;TRUE
140.0;136;1;R1.sep.v;TRUE
