Nume,Bucati,Pret/buc,Pret total,Observatii
surub,8,0,0,
pereche clema prindere perete,1,0,0,
sina perete,0.492,0,0.0,
surub diblu perete,2,0,0,
surub PFL,12,0,0,
surub,4,0,0,
surub,4,0,0,
surub,4,0,0,
surub,4,0,0,
surub,4,0,0,
surub,4,0,0,
surub,4,0,0,
surub,4,0,0,
surub,8,0,0,
pereche clema prindere perete,1,0,0,
sina perete,0.492,0,0.0,
surub diblu perete,2,0,0,
surub PFL,12,0,0,
surub,4,0,0,
surub,4,0,0,
surub,4,0,0,
surub,4,0,0,
surub,4,0,0,
surub,4,0,0,
surub,4,0,0,
surub,4,0,0,
TOTAL surub,80,0,0
TOTAL pereche clema prindere perete,2,0,0
TOTAL sina perete,0.984,0,0.0
TOTAL surub diblu perete,4,0,0
TOTAL surub PFL,24,0,0
