Bucati,Lungime,Latime,Orientabila,Eticheta,L1,L2,l1,l2
1,492,140,0,R1.lat1,2,,2,2
1,456,138,0,R1.jos,2,,,
1,492,140,0,R1.lat2,2,,2,2
1,456,138,0,R1.sus,2,,,
1,456,138,0,R1.sep.h1,2,,,
1,456,138,0,R1.sep.h,2,,,
1,140.0,136,0,R1.sep.v,2,,,
1,140.0,136,0,R1.sep.v,2,,,
1,140.0,136,0,R1.sep.v,2,,,
1,140.0,136,0,R1.sep.v,2,,,
1,140.0,136,0,R1.sep.v,2,,,
1,140.0,136,0,R1.sep.v,2,,,
1,492,140,0,R1.lat1,2,,2,2
1,456,138,0,R1.jos,2,,,
1,492,140,0,R1.lat2,2,,2,2
1,456,138,0,R1.sus,2,,,
1,456,138,0,R1.sep.h1,2,,,
1,456,138,0,R1.sep.h,2,,,
1,140.0,136,0,R1.sep.v,2,,,
1,140.0,136,0,R1.sep.v,2,,,
1,140.0,136,0,R1.sep.v,2,,,
1,140.0,136,0,R1.sep.v,2,,,
1,140.0,136,0,R1.sep.v,2,,,
1,140.0,136,0,R1.sep.v,2,,,
