Bucati,Lungime,Latime,Orientabila,Eticheta,L1,L2,l1,l2
1,670,460,0,C9.jos,1,,1,1
1,794,460,0,C9.lat,1,,,
1,794,460,0,C9.lat,1,,,
1,634,100,0,C9.leg1,1,1,,
1,634,100,0,C9.leg2,1,1,,
1,634,440,0,C9.pol,2,,,
1,634,440,0,C9.pol,2,,,
1,2748,812,0,C9.spate1,1,1,1,1
1,400,460,0,C9.intermediar,1,0,0,0
1,400,460,0,C8.jos,1,,1,1
1,794,460,0,C8.lat,1,,,
1,794,460,0,C8.lat,1,,,
1,364,100,0,C8.leg1,1,1,,
1,364,100,0,C8.leg2,1,1,,
1,447,150,0,C8.ser.left,1,,1,1
1,302,150,0,C8.ser.front,1,,,
1,302,150,0,C8.ser.back,1,,,
1,447,150,0,C8.ser.right,1,,1,1
1,302,411,0,C8.ser.f,,,,
1,447,150,0,C8.ser.left,1,,1,1
1,302,150,0,C8.ser.front,1,,,
1,302,150,0,C8.ser.back,1,,,
1,447,150,0,C8.ser.right,1,,1,1
1,302,411,0,C8.ser.f,,,,
1,447,150,0,C8.ser.left,1,,1,1
1,302,150,0,C8.ser.front,1,,,
1,302,150,0,C8.ser.back,1,,,
1,447,150,0,C8.ser.right,1,,1,1
1,302,411,0,C8.ser.f,,,,
1,396,218,0,C8.front,2,2,2,2
1,396,218,0,C8.front,2,2,2,2
1,396,218,0,C8.front,2,2,2,2
1,400,460,0,C7.jos,1,,1,1
1,794,460,0,C7.lat,1,,,
1,794,460,0,C7.lat,1,,,
1,364,100,0,C7.leg1,1,1,,
1,364,100,0,C7.leg2,1,1,,
1,447,150,0,C7.ser.left,1,,1,1
1,302,150,0,C7.ser.front,1,,,
1,302,150,0,C7.ser.back,1,,,
1,447,150,0,C7.ser.right,1,,1,1
1,302,411,0,C7.ser.f,,,,
1,447,150,0,C7.ser.left,1,,1,1
1,302,150,0,C7.ser.front,1,,,
1,302,150,0,C7.ser.back,1,,,
1,447,150,0,C7.ser.right,1,,1,1
1,302,411,0,C7.ser.f,,,,
1,447,150,0,C7.ser.left,1,,1,1
1,302,150,0,C7.ser.front,1,,,
1,302,150,0,C7.ser.back,1,,,
1,447,150,0,C7.ser.right,1,,1,1
1,302,411,0,C7.ser.f,,,,
1,396,218,0,C7.front,2,2,2,2
1,396,218,0,C7.front,2,2,2,2
1,396,218,0,C7.front,2,2,2,2
1,400,460,0,C6.intermediar,1,0,0,0
1,680,460,0,C6.jos,1,,1,1
1,794,460,0,C6.lat,1,,,
1,794,460,0,C6.lat,1,,,
1,644,100,0,C6.leg1,1,1,,
1,644,100,0,C6.leg2,1,1,,
1,644,440,0,C6.pol,2,,,
1,644,440,0,C6.pol,2,,,
1,812,442,0,C5.back1,1,1,1,0
1,812,480,0,C5.back2,1,0,1,0
1,442,462,0,C5.base,0,0,0,0
1,442,462,0,C5.shelf,0,0,0,0
1,442,462,0,C5.shelf,0,0,0,0
1,1100,480,0,C4.jos,1,,1,1
1,794,480,0,C4.lat,1,,,
1,794,480,0,C4.lat,1,,,
1,1064,100,0,C4.leg1,1,1,,
1,1064,100,0,C4.leg2,1,1,,
1,467,50,0,C4.ser.left,1,,1,1
1,1002,50,0,C4.ser.front,1,,,
1,1002,50,0,C4.ser.back,1,,,
1,467,50,0,C4.ser.right,1,,1,1
1,1002,431,0,C4.ser.f,,,,
1,467,100,0,C4.ser.left,1,,1,1
1,1002,100,0,C4.ser.front,1,,,
1,1002,100,0,C4.ser.back,1,,,
1,467,100,0,C4.ser.right,1,,1,1
1,1002,431,0,C4.ser.f,,,,
1,467,200,0,C4.ser.left,1,,1,1
1,1002,200,0,C4.ser.front,1,,,
1,1002,200,0,C4.ser.back,1,,,
1,467,200,0,C4.ser.right,1,,1,1
1,1002,431,0,C4.ser.f,,,,
1,1096,346,0,C4.front1,2,2,2,2
1,1096,196,0,C4.front2,2,2,2,2
1,1064,480,0,C4.sep.h,1,,,
1,1100,812,0,C4.spate,1,1,1,1
1,580,480,0,C3.jos,1,,1,1
1,794,480,0,C3.lat,1,,,
1,794,480,0,C3.lat,1,,,
1,544,100,0,C3.leg1,1,1,,
1,544,100,0,C3.leg2,1,1,,
1,544,460,0,C3.pol,2,,,
1,544,460,0,C3.pol,2,,,
1,1600,530,0,C2.jos,1,,1,1
1,794,530,0,C2.lat,1,,,
1,794,530,0,C2.lat,1,,,
1,1564,100,0,C2.leg1,1,1,,
1,1564,100,0,C2.leg2,1,1,,
1,1564,510,0,C2.pol,2,,,
1,1564,510,0,C2.pol,2,,,
1,900,530,0,C1.jos,1,,1,1
1,794,530,0,C1.lat,1,,,
1,794,530,0,C1.lat,1,,,
1,864,100,0,C1.leg1,1,1,,
1,864,100,0,C1.leg2,1,1,,
1,864,100,0,C1.leg,1,,,
1,447,808,0,C1.front1,2,2,2,2
1,447,808,0,C1.front1,2,2,2,2
