Element type,Element Label,Size,Unit,Material,Price
accessory,picioare,4,pieces,picioare,5.0
accessory,clema plinta,2.0,pieces,clema plinta,1.4
accessory,surub 3.5x16,16,pieces,surub 3.5x16,0.56
accessory,surub blat,4,pieces,surub blat,0.156
accessory,surub,14,pieces,surub,2.4038
accessory,plinta,0.67,pieces,plinta,9.07046
accessory,sipca apa,0.67,pieces,sipca apa,6.755610000000001
pal,C9.jos,0.3082,sheet,Alb W962ST2,22.6763
pal,C9.lat,0.36524,sheet,Alb W962ST2,23.83458
pal,C9.lat,0.36524,sheet,Alb W962ST2,23.83458
pal,C9.leg1,0.0632,sheet,Alb W962ST2,7.51248
pal,C9.leg2,0.0632,sheet,Alb W962ST2,7.51248
accessory,surub PFL,18,pieces,surub PFL,0.4662
pal,C9.pol,0.27896,sheet,Alb W962ST2,20.666240000000002
accessory,bolt polita,4,pieces,bolt polita,0.1536
accessory,surub PFL,2,pieces,surub PFL,0.0518
pal,C9.pol,0.27896,sheet,Alb W962ST2,20.666240000000002
accessory,bolt polita,4,pieces,bolt polita,0.1536
accessory,surub PFL,2,pieces,surub PFL,0.0518
front,Riflaj1,0.405188,m2,Alb Riflat A356R3,258
pal,C9.spate1,2.231376,sheet,Alb W962ST2,153.4184
front,Riflaj2,0.405188,m2,Alb Riflat A356R3,258
pal,C9.intermediar,0.184,sheet,Alb W962ST2,11.428
accessory,picioare,2,pieces,picioare,2.5
accessory,clema plinta,1.0,pieces,clema plinta,0.7
accessory,surub 3.5x16,8,pieces,surub 3.5x16,0.28
accessory,surub blat,4,pieces,surub blat,0.156
accessory,surub,14,pieces,surub,2.4038
accessory,plinta,0.4,pieces,plinta,5.4152000000000005
accessory,sipca apa,0.4,pieces,sipca apa,4.0332
pal,C8.jos,0.184,sheet,Alb W962ST2,14.712399999999999
pal,C8.lat,0.36524,sheet,Alb W962ST2,23.83458
pal,C8.lat,0.36524,sheet,Alb W962ST2,23.83458
pal,C8.leg1,0.0362,sheet,Alb W962ST2,4.58468
pal,C8.leg2,0.0362,sheet,Alb W962ST2,4.58468
accessory,surub PFL,16,pieces,surub PFL,0.4144
pal,C8.ser.left,0.06705,sheet,Alb W962ST2,5.66679
pal,C8.ser.front,0.0453,sheet,Alb W962ST2,3.07814
pal,C8.ser.back,0.0453,sheet,Alb W962ST2,3.07814
pal,C8.ser.right,0.06705,sheet,Alb W962ST2,5.66679
pal,C8.ser.f,0.124122,sheet,Alb W962ST2,7.0
accessory,pereche glisiera 400 mm,1,pieces,pereche glisiera 400 mm,30.0
accessory,surub 3.5x16,12,pieces,surub 3.5x16,0.42000000000000004
accessory,surub,8,pieces,surub,1.3736
accessory,surub PFL,14,pieces,surub PFL,0.3626
pal,C8.ser.left,0.06705,sheet,Alb W962ST2,5.66679
pal,C8.ser.front,0.0453,sheet,Alb W962ST2,3.07814
pal,C8.ser.back,0.0453,sheet,Alb W962ST2,3.07814
pal,C8.ser.right,0.06705,sheet,Alb W962ST2,5.66679
