Nume,Bucati,Pret/buc,Pret total,Observatii
picioare,4,0,0,
clema plinta,2.0,0,0.0,
surub 3.5x16,16,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,0.67,0,0.0,
sipca apa,0.67,0,0.0,
surub PFL,18,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
picioare,2,0,0,
clema plinta,1.0,0,0.0,
surub 3.5x16,8,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,0.4,0,0.0,
sipca apa,0.4,0,0.0,
surub PFL,16,0,0,
pereche glisiera 400 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,14,0,0,
pereche glisiera 400 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,14,0,0,
pereche glisiera 400 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,14,0,0,
bara haine dr,3,0,0,
picioare,2,0,0,
clema plinta,1.0,0,0.0,
surub 3.5x16,8,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,0.4,0,0.0,
sipca apa,0.4,0,0.0,
surub PFL,16,0,0,
pereche glisiera 400 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,14,0,0,
pereche glisiera 400 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,14,0,0,
pereche glisiera 400 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,14,0,0,
picioare,4,0,0,
clema plinta,2.0,0,0.0,
surub 3.5x16,16,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,0.68,0,0.0,
sipca apa,0.68,0,0.0,
surub PFL,20,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
surub,2,0,0,
surub,4,0,0,
surub,4,0,0,
surub,4,0,0,
picioare,6,0,0,
clema plinta,3.0,0,0.0,
surub 3.5x16,24,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,1.1,0,0.0,
sipca apa,1.1,0,0.0,
surub PFL,24,0,0,
pereche glisiera 450 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,30,0,0,
pereche glisiera 450 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,30,0,0,
pereche glisiera 450 mm,1,0,0,
surub 3.5x16,12,0,0,
surub,8,0,0,
surub PFL,30,0,0,
surub,4,0,0,
picioare,4,0,0,
clema plinta,2.0,0,0.0,
surub 3.5x16,16,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,0.58,0,0.0,
sipca apa,0.58,0,0.0,
surub PFL,18,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
picioare,8,0,0,
clema plinta,4.0,0,0.0,
surub 3.5x16,32,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,1.6,0,0.0,
sipca apa,1.6,0,0.0,
surub PFL,32,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
bolt polita,4,0,0,
surub PFL,2,0,0,
picioare,6,0,0,
clema plinta,3.0,0,0.0,
surub 3.5x16,24,0,0,
surub blat,4,0,0,
surub,14,0,0,
plinta,0.9,0,0.0,
sipca apa,0.9,0,0.0,
surub PFL,22,0,0,
decupare blat,1,0,0,
TOTAL picioare,36,0,0
TOTAL clema plinta,18.0,0,0.0
TOTAL surub 3.5x16,252,0,0
TOTAL surub blat,32,0,0
TOTAL surub,202,0,0
TOTAL plinta,6.330000000000001,0,0.0
TOTAL sipca apa,6.330000000000001,0,0.0
TOTAL surub PFL,356,0,0
TOTAL bolt polita,32,0,0
TOTAL pereche glisiera 400 mm,6,0,0
TOTAL bara haine dr,3,0,0
TOTAL pereche glisiera 450 mm,3,0,0
TOTAL decupare blat,1,0,0
